HomeTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,TeamCluster
Arsenal,2.8421052631578947,1.0526315789473684,1.2105263157894737,0.5263157894736842,17.94736842105263,9.68421052631579,7.684210526315789,3.6315789473684212,9.789473684210526,10.263157894736842,6.842105263157895,4.894736842105263,1.3157894736842106,1.2105263157894737,0.05263157894736842,0.10526315789473684,0
Bournemouth,1.368421052631579,1.5789473684210527,0.42105263157894735,0.5789473684210527,14.052631578947368,13.473684210526315,4.315789473684211,4.473684210526316,8.68421052631579,10.894736842105264,6.052631578947368,4.421052631578948,1.631578947368421,1.8421052631578947,0.05263157894736842,0.05263157894736842,1
Brighton,1.263157894736842,1.3157894736842106,0.42105263157894735,0.5789473684210527,11.421052631578947,12.789473684210526,3.736842105263158,4.578947368421052,10.421052631578947,8.0,4.7368421052631575,5.157894736842105,1.9473684210526316,0.8421052631578947,0.05263157894736842,0.05263157894736842,3
Burnley,0.8421052631578947,0.8947368421052632,0.3684210526315789,0.2631578947368421,10.894736842105264,13.842105263157896,3.473684210526316,4.2105263157894735,8.789473684210526,11.947368421052632,4.947368421052632,5.7894736842105265,1.4210526315789473,0.8421052631578947,0.0,0.21052631578947367,2
Chelsea,1.5789473684210527,0.8421052631578947,0.7894736842105263,0.3157894736842105,18.736842105263158,8.842105263157896,6.947368421052632,2.6842105263157894,9.631578947368421,11.68421052631579,7.7894736842105265,3.6842105263157894,1.0,1.736842105263158,0.15789473684210525,0.05263157894736842,0
Crystal Palace,1.5263157894736843,1.4210526315789473,0.7368421052631579,0.8421052631578947,14.052631578947368,10.842105263157896,4.7894736842105265,4.2631578947368425,11.31578947368421,11.31578947368421,5.473684210526316,5.052631578947368,2.0,1.894736842105263,0.0,0.10526315789473684,3
Everton,1.4736842105263157,1.1578947368421053,0.3684210526315789,0.47368421052631576,9.947368421052632,12.68421052631579,3.1578947368421053,4.2631578947368425,12.31578947368421,10.31578947368421,4.2631578947368425,5.2105263157894735,1.4736842105263157,1.2105263157894737,0.05263157894736842,0.10526315789473684,3
Huddersfield,0.8421052631578947,1.3157894736842106,0.5263157894736842,0.631578947368421,10.894736842105264,9.789473684210526,2.8947368421052633,4.052631578947368,9.473684210526315,9.473684210526315,5.368421052631579,4.368421052631579,1.368421052631579,1.6842105263157894,0.10526315789473684,0.05263157894736842,1
Leicester,1.3157894736842106,1.1578947368421053,0.5789473684210527,0.5789473684210527,11.947368421052632,11.368421052631579,3.9473684210526314,3.6315789473684212,9.473684210526315,10.263157894736842,5.894736842105263,4.684210526315789,1.1578947368421053,1.4736842105263157,0.10526315789473684,0.05263157894736842,1
Liverpool,2.3684210526315788,0.5263157894736842,0.8421052631578947,0.15789473684210525,18.894736842105264,6.2105263157894735,7.105263157894737,1.9473684210526316,8.736842105263158,8.473684210526315,7.052631578947368,3.263157894736842,0.9473684210526315,1.4736842105263157,0.0,0.0,0
Man City,3.210526315789474,0.7368421052631579,1.105263157894737,0.2631578947368421,18.263157894736842,5.578947368421052,7.947368421052632,2.1052631578947367,8.894736842105264,9.473684210526315,7.2631578947368425,2.473684210526316,1.368421052631579,2.1052631578947367,0.05263157894736842,0.10526315789473684,0
Man United,2.0,0.47368421052631576,0.8947368421052632,0.2631578947368421,14.473684210526315,9.263157894736842,4.894736842105263,3.4210526315789473,10.736842105263158,11.526315789473685,6.157894736842105,3.9473684210526314,1.5263157894736843,1.736842105263158,0.0,0.0,0
Newcastle,1.105263157894737,0.8947368421052632,0.42105263157894735,0.42105263157894735,11.789473684210526,11.473684210526315,3.736842105263158,3.4210526315789473,10.894736842105264,10.789473684210526,4.368421052631579,5.0,1.2105263157894737,1.8421052631578947,0.10526315789473684,0.0,1
Southampton,1.0526315789473684,1.368421052631579,0.47368421052631576,0.6842105263157895,13.263157894736842,11.736842105263158,4.052631578947368,3.8947368421052633,10.0,10.526315789473685,6.578947368421052,4.684210526315789,1.5263157894736843,1.3157894736842106,0.0,0.05263157894736842,3
Stoke,1.0526315789473684,1.5789473684210527,0.47368421052631576,0.5789473684210527,10.68421052631579,13.894736842105264,3.4210526315789473,5.105263157894737,11.526315789473685,10.421052631578947,4.2105263157894735,6.7368421052631575,1.5789473684210527,1.2105263157894737,0.05263157894736842,0.0,3
Swansea,0.8947368421052632,1.263157894736842,0.3157894736842105,0.631578947368421,11.263157894736842,11.68421052631579,3.6315789473684212,4.526315789473684,10.31578947368421,11.210526315789474,5.0,4.2631578947368425,1.263157894736842,2.1052631578947367,0.0,0.0,1
Tottenham,2.1052631578947367,0.8421052631578947,0.7368421052631579,0.3684210526315789,18.57894736842105,9.0,6.315789473684211,3.263157894736842,9.31578947368421,10.631578947368421,7.526315789473684,3.736842105263158,1.0526315789473684,1.894736842105263,0.0,0.0,0
Watford,1.4210526315789473,1.631578947368421,0.5263157894736842,0.8421052631578947,12.421052631578947,11.0,3.6842105263157894,4.2631578947368425,11.789473684210526,10.842105263157896,5.052631578947368,4.842105263157895,2.1578947368421053,1.894736842105263,0.10526315789473684,0.15789473684210525,3
West Brom,1.105263157894737,1.5263157894736843,0.42105263157894735,0.6842105263157895,11.052631578947368,12.052631578947368,3.4210526315789473,3.5789473684210527,12.105263157894736,9.052631578947368,5.315789473684211,4.578947368421052,1.8421052631578947,1.5789473684210527,0.0,0.0,3
West Ham,1.263157894736842,1.368421052631579,0.5263157894736842,0.631578947368421,11.105263157894736,11.894736842105264,3.3684210526315788,3.9473684210526314,10.157894736842104,12.473684210526315,4.894736842105263,4.105263157894737,1.7894736842105263,1.4210526315789473,0.0,0.05263157894736842,3
